Post,Company,Experience,Level,Salary,Deadline
GS Admissions Officer,Study Info Centre,More than 1 year,Mid Level,Not Disclosed,2025-12-26
Front Desk Officer,American Educational Research & Training Center,Equal to 1 year,Entry Level,Not Disclosed,2025-12-25
Content Writer,Merojob,Less than 1 year,Entry Level,"NRs. 22,000 Monthly",2025-12-24
Student Recruitment Support Officer,Executive Search- Merojob,More than 2 years,Mid Level,Not Disclosed,2025-12-20
Finance Assistant,Merojob,More than 1 year,Entry Level,"NRs. 22,000 Monthly",2025-12-25
Data Engineer,Abacus Insights,More than 2 years,Mid Level,Not Disclosed,2025-12-25
Engineering Manager,Abacus Insights,More than 4 years,Senior Level,Not Disclosed,2025-12-25
Digital Marketing Executive,Nihon Educational and Cultural Center,More than 1 year,Mid Level,"NRs. 30,000 - 40,000 Monthly",2025-12-25
Service and Application Engineer,B.S.R. Biotech,Not Required,Entry Level,Not Disclosed,2025-12-25
Sales Executive,Soonchandi.com,Not Required,Entry Level,"NRs. 50,000 Monthly",2025-12-18
Inbound Manager,Himmalagari Travel and Tours,More than 5 years,Mid Level,"NRs. 50,000 - 60,000 Monthly",2025-12-25
Preschool IB Teacher,EuroKids International,More than 1 year,Mid Level,Not Disclosed,2025-12-15
Junior System Administrator,WorldLink Communications,Less than 1 year,Entry Level,Not Disclosed,2025-12-25
Junior Odoo Functional Consultant,Precision Pyramid Nepal,More than 1 year,Entry Level,Not Disclosed,2025-12-23
Sr. Project Manager / Project Manager - High Rise Building,RV Group,More than 15 years,Top Level,Not Disclosed,2025-12-24
Admin and Documentation Officer,River Group,More than 3 years,Mid Level,Not Disclosed,2025-12-24
Account Manager (Sales Coordinator),ZTE Nepal,More than 3 years,Mid Level,Not Disclosed,2025-12-24
Public Relations Officer (PRO),Global Rising Placement,More than 1 year,Mid Level,Not Disclosed,2025-12-24
Project Manager,Dreamline Construction,More than 1 year,Mid Level,"NRs. 65,000 Monthly",2025-12-24
Architect,Dreamline Construction,More than 1 year,Mid Level,"NRs. 45,000 Monthly",2025-12-24
Accountant,Dreamline Construction,More than 1 year,Mid Level,"NRs. 30,000 Monthly",2025-12-24
Student Service Officer,AIP Education,More than 2 years,Mid Level,Not Disclosed,2025-12-24
Admission / GS Officer,AIP Education,More than 3 years,Mid Level,Not Disclosed,2025-12-24
Counselor,Academics Routes Education Consultancy,More than 1 year,Mid Level,"NRs. 30,000 - 50,000 Monthly",2025-12-24
Agriculture Technical Officer – Regenerative Agriculture and Permaculture,Volunteers Initiative Nepal (VIN),More than 5 years,Senior Level,"NRs. 50,000 - 70,000 Monthly",2025-12-23
Customer Service Representative,Goyal Metal Industries,Less than 1 year,Entry Level,Not Disclosed,2025-12-23
Junior Odoo Technical Consultant / Associate Developer,Precision Pyramid Nepal,Not Required,Entry Level,Not Disclosed,2025-12-23
Education Counselor,Education Network,More than 2 years,Mid Level,Not Disclosed,2025-12-23
Product Manager – Snowman Camera (Indoor),WorldLink Communications,More than 3 years,Mid Level,Not Disclosed,2025-12-22
MIS Officer,WorldLink Communications,More than 1 year,Mid Level,Not Disclosed,2025-12-22
Production Executive,Asian Paints (Nepal),More than 2 years,Mid Level,"NRs. 35,000 - 40,000 Monthly",2025-12-22
Sales Executive,Mero Coding Class,More than 1 year,Entry Level,Not Disclosed,2025-12-20
Operations Manager,Future Employment Service,More than 4 years,Senior Level,Not Disclosed,2025-12-20
IELTS Instructor,Alphabet Education Consultancy,More than 1 year,Mid Level,Not Disclosed,2025-12-20
Senior Officer - Finance and Accounts,Times Business,More than 5 years,Senior Level,Not Disclosed,2025-12-20
Showroom Hostess,Times Business,More than 1 year,Mid Level,Not Disclosed,2025-12-20
Engineer – CAD and 3D Modeling,I.S.B. Engineering,Not Required,Entry Level,Not Disclosed,2025-12-20
Fulfillment Manager,Load Board,More than 5 years,Senior Level,Not Disclosed,2025-12-20
Head - Research Centre,Ace Group,More than 3 years,Senior Level,Not Disclosed,2026-01-05
Marketing Officer,Ace Group,More than 1 year,Mid Level,Not Disclosed,2026-01-04
Program Coordinator / Manager,Ace Group,More than 2 years,Mid Level,Not Disclosed,2026-01-03
